000996,中国中期
600614,鹏起科技
002111,威海广泰
002295,精艺股份
600792,云煤能源
002004,华邦健康
300488,恒锋工具
603533,掌阅科技
000546,金圆股份
000518,四环生物
601127,小康股份
002321,华英农业
600215,长春经开
300369,绿盟科技
002228,合兴包装
300189,神农基因
600760,中航沈飞
000408,藏格控股
603355,莱克电气
600581,八一钢铁
600850,华东电脑
300672,国科微
603922,金鸿顺
002855,捷荣技术
600261,阳光照明
300191,潜能恒信
002136,安 纳 达
600241,XD时代万
600249,两面针
300010,立思辰
000933,神火股份
300311,任子行
002213,特 尔 佳
300690,双一科技
300561,汇金科技
603636,南威软件
603555,贵人鸟
002405,四维图新
300383,光环新网
300657,弘信电子
000858,五 粮 液
300683,海特生物
600382,广东明珠
300633,开立医疗
600545,卓郎智能
600763,通策医疗
000017,深中华A
002927,泰永长征
600059,古越龙山
600675,中华企业
300443,金雷风电
002337,赛象科技
600990,四创电子
600489,中金黄金
600858,银座股份
002690,美亚光电
000089,深圳机场
300596,利安隆
300389,艾比森
600060,海信电器
600121,郑州煤电
600673,东阳光科
600557,康缘药业
603725,天安新材
603926,铁流股份
002926,华西证券
002245,澳洋顺昌
600585,海螺水泥
300233,金城医药
300283,温州宏丰
603116,红蜻蜓
300231,银信科技
000811,冰轮环境
002486,嘉麟杰
002103,广博股份
002150,通润装备
002366,台海核电
002358,森源电气
603876,鼎胜新材
601288,农业银行
300184,力源信息
002377,国创高新
000529,广弘控股
300082,奥克股份
002626,金达威
002656,摩登大道
601919,中远海控
600422,昆药集团
002886,沃特股份
600130,波导股份
300472,新元科技
002592,八菱科技
000961,中南建设
603268,松发股份
002349,精华制药
000993,闽东电力
600558,大西洋
002390,信邦制药
300502,新易盛
002017,东信和平
